model,maker,carNumber,madeYear,startedRentOn,finishedRentOn
Corolla,Toyota,AB123CD,2018,,
Civic,Honda,XY789ZY,2017,,
Accord,Honda,AB456CD,2020,,
Model S,Tesla,XY789AB,2021,,
X5,BMW,CD123AB,2015,,
E-Class,Mercedes-Benz,AA123BB,2019,,
Model 3,Tesla,ZZ987YY,2020,,
Escape,Ford,BC234DE,2018,,
CX-5,Mazda,EE111FF,2017,,
S90,Volvo,DD222GG,2021,,
Polo,Volkswagen,AC456FG,2016,,
Optima,Kia,DD444HH,2019,,
RAV4,Toyota,BB222CC,2017,,
Camry,Toyota,CC333AA,2021,,
Q7,Audi,AA888ZZ,2020,,
Camaro,Chevrolet,AB444CD,2018,,
F-Type,Jaguar,YY111XX,2017,,
Wrangler,Jeep,BC345DE,2021,,
Tucson,Hyundai,EE222FF,2019,,
A4,Audi,AC333BB,1800,,
